Model,Train_Accuracy,Train_Precision,Train_Recall,Train_F1,Train_ROC_AUC,Validation_Accuracy,Validation_Precision,Validation_Recall,Validation_F1,Validation_ROC_AUC,F1_Gap
Tuned Random Forest,0.8648520710059172,0.6747141041931385,0.9473684210526315,0.788126159554731,0.9579360636213985,0.7601135557132718,0.5342205323193916,0.7513368983957219,0.6244444444444445,0.8313505903019969,0.1636817151102865
Logistic Regression,0.7521893491124261,0.5210706150341685,0.8162355040142729,0.6360792492179353,0.8544314492766953,0.7459190915542938,0.5139372822299652,0.7887700534759359,0.6223628691983122,0.8367033506419695,0.013716380019623164
Random Forest,0.8650887573964497,0.6749206349206349,0.9482604817127565,0.7885756676557863,0.958508545849159,0.7579843860894251,0.5313092979127134,0.7486631016042781,0.6215316315205327,0.8313841742230489,0.16704403613525365
Decision Tree,0.7647337278106509,0.535614133482894,0.8519179304192686,0.6577134986225895,0.8748380553537435,0.7203690560681334,0.4833887043189369,0.7780748663101604,0.5963114754098361,0.8161370740654628,0.061402023212753454
Neural Network,0.8037869822485207,0.6597374179431073,0.5379125780553078,0.5926289926289926,0.8500182780470309,0.8090844570617459,0.6816608996539792,0.5267379679144385,0.5942684766214178,0.8300098168384614,-0.0016394839924251947
