CustomerSegment,Customers,Average_Tenure,Average_Monthly_Charges,Average_Total_Charges,Average_Optional_Services,Churn_Rate
1,1982,59.78960645812311,91.25915741675075,5447.205196770938,4.095358224016145,0.1442986881937437
2,1884,8.779723991507431,37.81005838641189,291.1535031847134,0.31581740976645434,0.321656050955414
3,2185,18.349199084668193,79.77501144164759,1437.9720823798627,2.34279176201373,0.4274599542334096
4,992,53.279233870967744,29.937903225806455,1581.961491935484,0.5262096774193549,0.04334677419354839
